Spont,Rmax,CV_ori,DSI,PrefTF,PrefSF,F1F0
2.9625,16.2857,0.1718,0.7193,1,0.08,0.3338
0.0089,0.1905,0.6067,0.75,2,0.02,2
0.3756,2.3889,0.6664,0.6744,8,0.32,0.4243
0.3111,0.9444,0.3626,0.5294,1,0.04,0.8636
0.0644,2.8333,0.7547,0.6471,1,0.02,1.5978
2.8283,7.5,0.4248,0,2,0.08,0.3158
0.0833,0.7917,0.0545,0.6316,1,0.04,1.0556
7.0483,19.875,0.2849,0.4298,2,0.08,0.2012
0.18,1.1667,0.7872,0.7857,1,0.02,1.3362
15.7067,21.9583,0.4334,0.1879,2,0.16,0.1987
0.55,3.5833,0.6773,0.4767,2,0.04,1.4089
0.2517,1.6667,0.5068,0.625,4,0.16,0.6895
2.8283,7.5,0.8266,0,2,0.08,0.3158
0.0833,0.7917,0.6582,0.6316,1,0.04,1.0556
7.0483,19.875,,0.4298,2,0.08,0.2012
0.18,1.1667,,0.7857,1,0.02,1.3362
15.7067,21.9583,,0.1879,2,0.16,0.1987
0.55,3.5833,,0.4767,2,0.04,1.4089
0.2517,1.6667,,0.625,4,0.16,0.6895
